ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,description,gene_biotype
ENSG00000000003,85.34395793529877,-0.2841878918684254,0.19448176263421516,0.07961315522455362,0.16498861832646247,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],protein_coding
ENSG00000000419,405.6091551520564,-0.7960171572653244,0.10056515406235818,3.1821347431474435e-16,1.3431688101317516e-14,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",protein_coding
ENSG00000000457,69.87826777956845,0.0424178711920838,0.178960200797571,0.7841612569624817,0.864135931224025,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],protein_coding
ENSG00000000460,76.17239103467115,-0.4425848732878029,0.1897964203338198,0.006519519726210175,0.021439536470836927,C1orf112,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],protein_coding
ENSG00000001036,541.1447466577755,-0.2990986499779823,0.07470836170254319,3.80649442014895e-5,2.5780527685118537e-4,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],protein_coding
ENSG00000001084,158.48558288762217,-0.12349197307219101,0.13116696158696908,0.29851833382005355,0.4482056681624097,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],protein_coding
ENSG00000001167,156.2542333630092,-0.06235984811090069,0.13715550591220046,0.6205349914414586,0.7427460997998067,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],protein_coding
ENSG00000001460,42.40542738892132,-0.5561578670549054,0.2893531593362697,0.010958306988158686,0.033039043073745715,STPG1,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],protein_coding
ENSG00000001461,231.95877713824174,0.29256140817408727,0.1168063554049781,0.007357736001992565,0.023649220237306,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],protein_coding
ENSG00000001497,253.8994908444799,-0.18247289195316785,0.10240184723918597,0.06016319777974623,0.13217519189858618,LAS1L,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],protein_coding
ENSG00000001561,52.49817898521371,0.201279415627318,0.21606169988586993,0.2382598580201853,0.3790431905403191,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],protein_coding
ENSG00000001617,38.60490425865736,0.22191449054463533,0.2572361158070685,0.23063835628868296,0.36993171022768034,SEMA3F,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],protein_coding
ENSG00000001629,83.16514300023906,0.14806123284442663,0.18054300836775639,0.3450465217203366,0.49807511758257483,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],protein_coding
ENSG00000001630,194.65465655390418,0.041791610491375614,0.12041185415349012,0.7139888476418543,0.8135978465029751,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],protein_coding
ENSG00000001631,49.350609290767245,0.16819843776064033,0.32471098167557644,0.3110672121601934,0.4619058637217579,KRIT1,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],protein_coding
ENSG00000002016,46.08262803152431,1.194480639791112,0.328799372670327,2.530696656098997e-5,1.8085289866223578e-4,RAD52,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",protein_coding
ENSG00000002330,339.9008304332357,0.23066740462229926,0.10351205192510235,0.019235419963973058,0.052711093241589,BAD,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],protein_coding
ENSG00000002549,176.28479434398696,0.0523960595820957,0.11364207474416699,0.6260767269355492,0.7470048227743583,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],protein_coding
ENSG00000002586,339.91966968102116,0.07457295414727964,0.09706046693867268,0.43609692950498324,0.5860458377911786,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],protein_coding
ENSG00000002822,77.71743890571021,-5.252063343550125,0.5586592227332102,9.485886379446266e-22,7.092732758574537e-20,MAD1L1,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],protein_coding
ENSG00000002834,2310.684959611924,0.31771242005009187,0.05030413466880461,1.5016328663803349e-10,3.0558112063120812e-9,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],protein_coding
ENSG00000002919,76.32755122247234,-0.1422741122730498,0.17300788784556684,0.3380734971422283,0.49124838535325455,SNX11,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],protein_coding
ENSG00000003056,797.301917050932,0.081461214433595,0.07740603451222627,0.27845370857213203,0.4254018419925683,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",protein_coding
ENSG00000003096,14.305443183781529,0.08275992990545418,0.27632312217561056,0.621355542769475,0.7432523335897779,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],protein_coding
ENSG00000003137,11.203133713741705,0.1448773418966061,0.3071656754272139,0.38616519440676833,0.5383519676979078,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],protein_coding
ENSG00000003147,181.03524374661401,0.0827571645834291,0.14711046010945664,0.5241713017963163,0.6642244319198916,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],protein_coding
ENSG00000003249,58.317707837620894,0.2895180065728634,0.2279457789883252,0.10423816555923565,0.2042156604795027,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],protein_coding
ENSG00000003393,70.024702289762,0.08326155330697793,0.1830477379522038,0.5914856062098424,0.720095753373259,ALS2,alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443],protein_coding
ENSG00000003400,30.435483214056134,0.08581235080973548,0.23358112574148912,0.6134801028241479,0.7376079339753722,CASP10,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],protein_coding
ENSG00000003402,326.6220572333467,0.04160609483285588,0.10189042804850257,0.6468182485443073,0.7629748716343061,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],protein_coding
ENSG00000003436,1233.102305481704,0.6610950691073514,0.06317643642638263,2.6927327287214575e-26,2.7963815678825612e-24,TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],protein_coding
ENSG00000003509,96.4017941867217,0.0020438814871225936,0.15005373014118126,0.996627948128166,0.997877331000144,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],protein_coding
ENSG00000003756,397.89368636682303,0.06979843164885687,0.08274989947481229,0.3807712508062767,0.5325913219454977,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],protein_coding
ENSG00000003989,57.518003662126205,-0.0699030268255383,0.18769490975606848,0.6532135230818394,0.7678134162348067,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],protein_coding
ENSG00000004059,47.80442325432515,-0.12380375606740567,0.2118922006376839,0.45406089149647627,0.6029416242369994,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],protein_coding
ENSG00000004139,54.893948816069376,-0.7135879443752535,0.2991096328162286,0.002379351578782552,0.00927153526157525,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],protein_coding
ENSG00000004142,585.1943280424803,0.02037667950391652,0.07230804516979225,0.7689013664508266,0.8525624956769868,POLDIP2,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],protein_coding
ENSG00000004399,69.50194643760229,-1.0006557320345026,0.23425539445383234,1.9823545829066218e-6,1.8864807067151378e-5,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],protein_coding
ENSG00000004455,733.742396296369,-0.08507208640843442,0.07547059922556879,0.2419349890273945,0.38284185892169026,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],protein_coding
ENSG00000004478,913.58254272546435,0.2744838774962173,0.05966866527155509,2.5181997880837935e-6,2.33526890340726e-5,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],protein_coding
ENSG00000004487,436.5911697857685,0.33984612539629827,0.08478149634120256,3.39142362080598e-5,2.3258269433043104e-4,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],protein_coding
ENSG00000004534,495.29873207042596,-0.013445130945745615,0.07679431618046566,0.861821632522184,0.9154843368690354,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],protein_coding
ENSG00000004660,36.965456212038,0.7537501509547117,0.30395023594377074,0.0017607899998206555,0.007188747939985422,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],protein_coding
ENSG00000004700,524.7024232408097,-0.21234194556367536,0.08911593822175631,0.01281914870257511,0.03749185533598465,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],protein_coding
ENSG00000004766,20.383818030825957,-0.2652124968522331,0.32235216350089907,0.16804307866146953,0.29229164727545165,VPS50,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],protein_coding
ENSG00000004777,65.0784934830377,-0.19109377176864908,0.18083109848829465,0.2078491359601109,0.3421874615045359,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],protein_coding
ENSG00000004779,756.8239503007144,0.10206748933665492,0.06172162963156493,0.09647074168532675,0.19198778022091262,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],protein_coding
ENSG00000004864,46.00135050908887,0.37547281180182696,0.2524481562746895,0.05127774171112879,0.11622540278713324,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],protein_coding
ENSG00000004866,28.11364323202332,-0.04694188429744164,0.2218378335020513,0.777513771452661,0.8590532550416339,ST7,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351],protein_coding
ENSG00000004897,490.973759252068,0.14923353158885258,0.08247212558286555,0.06022299274090005,0.1322843478285508,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],protein_coding
ENSG00000004961,145.39416452653,-0.4178757048409098,0.14413908721798935,0.001406993364965836,0.005931220419000633,HCCS,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837],protein_coding
ENSG00000004975,159.91779055974413,-0.04979977882397769,0.12675343477968506,0.667627347654498,0.778809293399225,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086],protein_coding
ENSG00000005020,221.20239736488477,-0.07348530822002271,0.11219115828067962,0.4846457049669515,0.6303839856013953,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687],protein_coding
ENSG00000005022,1939.8680652130106,0.17822644531673146,0.05041509236393728,3.486091528946438e-4,0.0018180752354031143,SLC25A5,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],protein_coding
ENSG00000005059,180.01067853941353,0.38886425324319035,0.13081750648153725,0.0013315837672607743,0.005675496284888349,MCUB,mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076],protein_coding
ENSG00000005073,16.045127530996858,0.08700963442785609,0.26679280407418154,0.6136812606840486,0.7377538381900277,HOXA11,homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101],protein_coding
ENSG00000005075,183.88053774693773,-0.35341468214336375,0.13610471582116257,0.004640407809081117,0.01617898645931959,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197],protein_coding
ENSG00000005100,198.79035438618857,0.20780805529632132,0.11760691120426144,0.05928955443366884,0.13079539436422,DHX33,DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718],protein_coding
ENSG00000005108,13.199891928649343,-0.0066407585355559885,0.28394431700521083,0.9612989461766551,0.9759929167226514,THSD7A,thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207],protein_coding
ENSG00000005156,154.40070741684903,0.2640778607489872,0.1377182315505088,0.033979816475558804,0.08370024137638925,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600],protein_coding
ENSG00000005175,196.08898002755222,-0.012324634543107971,0.11220783381851003,0.9063149940178631,0.9432971441873799,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151],protein_coding
ENSG00000005189,13.276635001386376,-2.0231520150572555,0.5743606026522377,3.034574511168615e-5,2.1109732843509476e-4,REXO5,RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661],protein_coding
ENSG00000005194,261.7476793884262,0.0699094512898358,0.11240563302319245,0.5051021182362461,0.6489210817006658,CIAPIN1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],protein_coding
