sample,condition,gene_name,proximal_use
shCtrl-HepG2-R2,DMAi_full_mit,ACADSB,0.584104912802523
shCtrl-HepG2-R2,DMAi_full_mit,ACBD5,0.365757289240526
shCtrl-HepG2-R2,DMAi_full_mit,ACOX1,0.668837716866713
shCtrl-HepG2-R2,DMAi_full_mit,ADIPOR1,0.370647614844369
shCtrl-HepG2-R2,DMAi_full_mit,ADO,0.534074628672707
shCtrl-HepG2-R2,DMAi_full_mit,AGO3,0.810975233864978
shCtrl-HepG2-R2,DMAi_full_mit,AIFM2,0.815561338534508
shCtrl-HepG2-R2,DMAi_full_mit,AKAP8,0.3831910324892
shCtrl-HepG2-R2,DMAi_full_mit,AMDHD2,0.451763517216689
shCtrl-HepG2-R2,DMAi_full_mit,AP1G1,0.438384056554992
shCtrl-HepG2-R2,DMAi_full_mit,AP2B1,0.470541703583239
shCtrl-HepG2-R2,DMAi_full_mit,ARL8A,0.626081824234233
shCtrl-HepG2-R2,DMAi_full_mit,ARPP19,0.365761289386548
shCtrl-HepG2-R2,DMAi_full_mit,ATF7IP,0.471746144138175
shCtrl-HepG2-R2,DMAi_full_mit,ATP6V1C1,0.695381816567556
shCtrl-HepG2-R2,DMAi_full_mit,B3GALT6,0.156492331721274
shCtrl-HepG2-R2,DMAi_full_mit,BBIP1,0.238003299712764
shCtrl-HepG2-R2,DMAi_full_mit,BMPR2,0.690690443993587
shCtrl-HepG2-R2,DMAi_full_mit,C1orf198,0.249774874854183
shCtrl-HepG2-R2,DMAi_full_mit,C2orf68,0.645626444825381
shCtrl-HepG2-R2,DMAi_full_mit,C6orf89,0.62222558723491
shCtrl-HepG2-R2,DMAi_full_mit,CALM3,0.296173101790369
shCtrl-HepG2-R2,DMAi_full_mit,CCDC25,0.764697634779877
shCtrl-HepG2-R2,DMAi_full_mit,CDC42SE1,0.48785310583498
shCtrl-HepG2-R2,DMAi_full_mit,CENPO,0.480845694636821
shCtrl-HepG2-R2,DMAi_full_mit,CEP164,0.376478122004086
shCtrl-HepG2-R2,DMAi_full_mit,CEP41,0.243267166040229
shCtrl-HepG2-R2,DMAi_full_mit,CHFR,0.809447144366554
shCtrl-HepG2-R2,DMAi_full_mit,CMPK1,0.476492947291632
shCtrl-HepG2-R2,DMAi_full_mit,CREBRF,0.493976019435736
shCtrl-HepG2-R2,DMAi_full_mit,CSK,0.526033301599042
shCtrl-HepG2-R2,DMAi_full_mit,CSTF1,0.919006472168504
shCtrl-HepG2-R2,DMAi_full_mit,CTC1,0.487174129083642
shCtrl-HepG2-R2,DMAi_full_mit,CTPS2,0.6355320742132
shCtrl-HepG2-R2,DMAi_full_mit,CYLD,0.588724137741898
shCtrl-HepG2-R2,DMAi_full_mit,DMAC2L,0.587331863913357
shCtrl-HepG2-R2,DMAi_full_mit,DNAJC5,0.404130657167315
shCtrl-HepG2-R2,DMAi_full_mit,EEF1AKMT2,0.638564227371957
shCtrl-HepG2-R2,DMAi_full_mit,EFR3A,0.588697607137941
shCtrl-HepG2-R2,DMAi_full_mit,EIF2S1,0.803381849687359
shCtrl-HepG2-R2,DMAi_full_mit,ELP3,0.576646464053693
shCtrl-HepG2-R2,DMAi_full_mit,EML4,0.399699807304581
shCtrl-HepG2-R2,DMAi_full_mit,ENGASE,0.446262472399234
shCtrl-HepG2-R2,DMAi_full_mit,FAM168B,0.38854176054566
shCtrl-HepG2-R2,DMAi_full_mit,FAM199X,0.495332038256979
shCtrl-HepG2-R2,DMAi_full_mit,FBXL5,0.96295950042496
shCtrl-HepG2-R2,DMAi_full_mit,FBXO28,0.706736471943719
shCtrl-HepG2-R2,DMAi_full_mit,FER,0.45931722536041
shCtrl-HepG2-R2,DMAi_full_mit,FKBP9,0.421799934116648
shCtrl-HepG2-R2,DMAi_full_mit,FLVCR1,0.556905002182717
shCtrl-HepG2-R2,DMAi_full_mit,FSTL3,0.279723201892302
shCtrl-HepG2-R2,DMAi_full_mit,GAPVD1,0.452673474654579
shCtrl-HepG2-R2,DMAi_full_mit,GATAD2A,0.531137711906752
shCtrl-HepG2-R2,DMAi_full_mit,GID4,0.37248457462737
shCtrl-HepG2-R2,DMAi_full_mit,GRPEL2,0.423196324907007
shCtrl-HepG2-R2,DMAi_full_mit,HDAC11,0.397418262625221
shCtrl-HepG2-R2,DMAi_full_mit,HEXIM1,0.6536040449154
shCtrl-HepG2-R2,DMAi_full_mit,HINT3,0.467682319593546
shCtrl-HepG2-R2,DMAi_full_mit,HMCES,0.896189754998348
shCtrl-HepG2-R2,DMAi_full_mit,ING1,0.256405510302823
shCtrl-HepG2-R2,DMAi_full_mit,INPP4A,0.427691304551058
shCtrl-HepG2-R2,DMAi_full_mit,JMY,0.54500218022636
shCtrl-HepG2-R2,DMAi_full_mit,KDM2A,0.668742244970288
shCtrl-HepG2-R2,DMAi_full_mit,KIAA1143,0.722916574280937
shCtrl-HepG2-R2,DMAi_full_mit,KIAA2013,0.561574003227881
shCtrl-HepG2-R2,DMAi_full_mit,KIF20B,0.548769626558376
shCtrl-HepG2-R2,DMAi_full_mit,KLHDC10,0.555116747937935
shCtrl-HepG2-R2,DMAi_full_mit,KLHL36,0.293091272659278
shCtrl-HepG2-R2,DMAi_full_mit,LARS1,0.576409999944507
shCtrl-HepG2-R2,DMAi_full_mit,LMAN2,0.218849998413673
shCtrl-HepG2-R2,DMAi_full_mit,LMNB2,0.315550857765679
shCtrl-HepG2-R2,DMAi_full_mit,LRIF1,0.696906452047375
shCtrl-HepG2-R2,DMAi_full_mit,LSM11,0.37190963246915
shCtrl-HepG2-R2,DMAi_full_mit,MAP4,0.517425445110057
