ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,description,gene_biotype
ENSG00000000003,65.81410612231367,-0.16854723027774582,0.220523288568008,0.3394196229979184,0.5426336182107349,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],protein_coding
ENSG00000000419,278.4862624434963,-0.08375687592483314,0.11559111939245983,0.4423753655901995,0.6409605363048045,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",protein_coding
ENSG00000000457,63.51459552662595,0.031682984094462144,0.21804884162984667,0.8561592494722696,0.9289603336165114,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],protein_coding
ENSG00000000460,56.77640015154597,-1.1545881027696574,0.26551685653530005,1.2280694615247424e-6,1.2849167885388217e-5,C1orf112,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],protein_coding
ENSG00000001036,397.9845042971121,-0.11187413018143343,0.14071692566098593,0.38406372431789776,0.587809602938994,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],protein_coding
ENSG00000001084,170.95091947315282,0.2692761534425141,0.1761366441019747,0.08175583198904506,0.20031767108804394,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],protein_coding
ENSG00000001167,138.274578342714,0.1497829967512842,0.1911057426333316,0.3552630045815405,0.5584365289853014,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],protein_coding
ENSG00000001460,45.24172013606991,-0.40901100100217547,0.31210327150566297,0.06130832456023285,0.16129903260711725,STPG1,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],protein_coding
ENSG00000001461,381.1010581916455,0.3971162715985835,0.1209256495124884,4.863938714783538e-4,0.002822149416618459,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],protein_coding
ENSG00000001497,254.38570893163669,-0.16588752808905177,0.145314883308168,0.21132843268002596,0.39567767210281385,LAS1L,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],protein_coding
ENSG00000001561,63.35952399895547,-0.14865301899984457,0.24233202913031496,0.415509823833539,0.6176123067122838,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],protein_coding
ENSG00000001617,46.827373370767965,1.2333785340552346,0.40659882237817735,1.7086254398391329e-4,0.0011285592183209055,SEMA3F,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],protein_coding
ENSG00000001629,115.27127369815973,-0.18396113633307296,0.17949675811405094,0.23627493703272642,0.4265375023750172,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],protein_coding
ENSG00000001630,180.38228117593985,-0.1651452139653609,0.15776706600154453,0.24352188003663508,0.43522456932128856,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],protein_coding
ENSG00000001631,215.01703625458097,-0.058118958440520306,0.26047438029224285,0.7424126360377372,0.8649960773026037,KRIT1,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],protein_coding
ENSG00000002016,67.88757643682854,0.006366099908647858,0.22844362502713594,0.9726421694444315,0.9872224885663945,RAD52,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",protein_coding
ENSG00000002330,354.2766557808424,0.017934472439674304,0.12500716975333775,0.8826493436732488,0.9425637749084856,BAD,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],protein_coding
ENSG00000002549,269.24275507220176,0.06335989446353801,0.1615722873070615,0.6596293933024124,0.8101081721980087,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],protein_coding
ENSG00000002586,295.8567260556329,0.059301391849218635,0.1438760143785473,0.6564108833323059,0.8077043692912931,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],protein_coding
ENSG00000002822,190.5622001546482,-1.1821314166083101,0.1877743351472205,2.6553057611085473e-11,5.362950006338814e-10,MAD1L1,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],protein_coding
ENSG00000002834,2217.1421619576586,0.27640004434360005,0.046728606723180764,2.3659109188358774e-9,3.752740022962584e-8,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],protein_coding
ENSG00000002919,113.27383967162876,0.42809342262404515,0.19530388890011843,0.010959867487042481,0.04092642450822229,SNX11,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],protein_coding
ENSG00000003056,607.1091734510147,0.1534200499682035,0.09426694772933765,0.09066097228084605,0.21614714844704838,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",protein_coding
ENSG00000003096,7.235418643905553,-0.2073048027137147,0.39277341256525145,0.18641743232618443,0.3648587717882917,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],protein_coding
ENSG00000003137,13.477125101274934,0.004111828637756024,0.3189869712165723,0.9801618170589794,0.990143216621675,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],protein_coding
ENSG00000003147,223.643613736637,0.8293716624009313,0.15725302391608958,2.084716724722533e-8,2.8532587764011873e-7,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],protein_coding
ENSG00000003249,102.86341683884409,0.5589390146225531,0.23206418999674983,0.004022459447264223,0.0176896142215883,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],protein_coding
ENSG00000003393,77.9959503557511,0.3169723599858773,0.27756879521726824,0.11518003630855844,0.258667030692949,ALS2,alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443],protein_coding
ENSG00000003400,36.934139507812866,-0.026264588686267888,0.293731046537571,0.8756620832656977,0.9395281028230177,CASP10,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],protein_coding
ENSG00000003402,628.7521887530012,0.6471692954740585,0.09641669619665205,4.450648302680608e-12,9.744510600028625e-11,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],protein_coding
ENSG00000003436,1507.9616661885755,0.14192346979875065,0.05373904552233715,0.007415974759922984,0.029698679536221014,TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],protein_coding
ENSG00000003509,94.68425616957462,-0.10036141749788849,0.1909861960227832,0.5312427389695717,0.7123092469652201,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],protein_coding
ENSG00000003756,458.7547108048428,0.05201882777547252,0.10539574439245451,0.605278624382872,0.7704335199665974,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],protein_coding
ENSG00000003989,76.07199970395813,0.2826613643512355,0.22868722481682802,0.12142282321393036,0.2686087556995778,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],protein_coding
ENSG00000004059,4.137377684441313,-0.11121834444377958,0.37189533106455464,0.2354022157235496,0.42566259478481855,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],protein_coding
ENSG00000004139,85.12956121939125,0.07427967569829437,0.22674371473341476,0.675626450050467,0.8222645132057707,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],protein_coding
ENSG00000004142,557.5820901566582,0.2613772097489111,0.08709692061438289,0.0019376537678524987,0.00947256310810843,POLDIP2,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],protein_coding
ENSG00000004399,126.91521951408579,-0.46835802492653966,0.19015085543095875,0.004690575290900018,0.020138028553389184,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],protein_coding
ENSG00000004455,749.1039762990594,-0.2088530090462106,0.07364325913932389,0.003864927397557151,0.017070096005877416,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],protein_coding
ENSG00000004468,10.209047049370543,0.06994843288618088,0.33280577612298556,0.6212555513693563,0.7834507568548578,CD38,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],protein_coding
ENSG00000004478,818.1473525731008,-0.23832791085271443,0.07429653864669504,0.0010266725662385642,0.005446999428058934,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],protein_coding
ENSG00000004487,311.50002890361463,-0.3747030103266198,0.13163504944466056,0.00218880174407309,0.010536243879698086,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],protein_coding
ENSG00000004534,366.1586567349444,-0.18094038448013502,0.15289873480556895,0.1894998483881538,0.3686422062635081,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],protein_coding
ENSG00000004660,32.15364955087408,0.02327329451714625,0.2802507988757345,0.896022826986547,0.9495222594307245,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],protein_coding
ENSG00000004700,955.3407359936299,-0.5626958723633163,0.07148376868805632,1.0471833463729296e-15,3.264748079868545e-14,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],protein_coding
ENSG00000004766,18.37116596878342,-0.1385977594642669,0.31534089206700266,0.43323080030468936,0.6336082229543443,VPS50,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],protein_coding
ENSG00000004777,47.27205397780643,-0.25129175653457697,0.34276240518232637,0.2036463468066852,0.3864252284467594,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],protein_coding
ENSG00000004779,816.3101163199093,0.0034590732165744294,0.08236998859258025,0.9684573462286697,0.9851869357028694,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],protein_coding
ENSG00000004864,75.70695482721798,0.017878154320159635,0.2258700298750777,0.9200339747861916,0.961509634355325,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],protein_coding
