Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Control_sites,WikiPathways,27,WP4148,Splicing factor NOVA regulated synaptic proteins,,-3.5,3.1,4.2,5157,17,991,10,1,0.32,334|490|858|1946|2037|2054|4756|5601|8573|10243,APLP2|ATP2B1|CAV2|EFNA5|EPB41L2|STX2|NEO1|MAPK9|CASK|GPHN,0
Control_sites,GO Biological Processes,19,GO:0007029,endoplasmic reticulum organization,19_GO:0009987 cellular process,-3.4,2.1,3.8,5157,46,991,19,1.9,0.44,858|3998|7905|8266|10087|10890|22931|23471|25923|55151|55161|57003|57488|64225|65125|80124|81488|124491|221035,CAV2|LMAN1|REEP5|UBL4A|CERT1|RAB10|RAB18|TRAM1|ATL3|TMEM38B|TMEM33|CCDC47|ESYT2|ATL2|WNK1|VCPIP1|POLR2M|TMEM170A|REEP3,0
Control_sites,GO Biological Processes,19,GO:0051146,striated muscle cell differentiation,19_GO:0032502 developmental process,-3.3,2,3.7,5157,61,991,23,2.3,0.48,858|3192|4205|4208|4756|5532|5573|5738|6272|6416|6474|7248|7422|8837|9043|9948|10611|11214|23363|29766|80005|80313|85461,CAV2|HNRNPU|MEF2A|MEF2C|NEO1|PPP3CB|PRKAR1A|PTGFRN|SORT1|MAP2K4|SHOX2|TSC1|VEGFA|CFLAR|SPAG9|WDR1|PDLIM5|AKAP13|OBSL1|TMOD3|DOCK5|LRRC27|TANC1,0
Control_sites,KEGG Pathway,24,hsa04926,Relaxin signaling pathway,,-3.2,2.2,3.8,5157,40,991,17,1.7,0.41,1282|1385|1386|2773|2782|5290|5578|5594|5601|6416|6654|7046|7422|9586|23236|55970|59345,COL4A1|CREB1|ATF2|GNAI3|GNB1|PIK3CA|PRKCA|MAPK1|MAPK9|MAP2K4|SOS1|TGFBR1|VEGFA|CREB5|PLCB1|GNG12|GNB4,0
Control_sites,GO Biological Processes,19,GO:0001909,leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-3,3.2,3.9,5157,13,991,8,0.81,0.28,1054|1075|3799|5532|6777|6891|11334|55207,CEBPG|CTSC|KIF5B|PPP3CB|STAT5B|TAP2|TUSC2|ARL8B,0
Control_sites,GeDiPNet,37,GDP04776,Movement Disorders,,-3,1.8,3.4,5157,86,991,29,2.9,0.54,894|1282|1788|2055|2070|3954|4208|4644|4976|5728|6334|6515|6558|7468|7915|8085|8243|8450|8573|11212|23389|23503|23543|28982|64087|84706|116442|171023|171568,CCND2|COL4A1|DNMT3A|CLN8|EYA4|LETM1|MEF2C|MYO5A|OPA1|PTEN|SCN8A|SLC2A3|SLC12A2|NSD2|ALDH5A1|KMT2D|SMC1A|CUL4B|CASK|PLPBP|MED13L|ZFYVE26|RBFOX2|FLVCR1|MCCC2|GPT2|RAB39B|ASXL1|POLR3H,0
Control_sites,GO Biological Processes,19,GO:1990542,mitochondrial transmembrane transport,19_GO:0051179 localization,-3,2.6,3.7,5157,22,991,11,1.1,0.33,1374|8604|9804|9868|10440|55186|79085|80273|87178|94081|134266,CPT1A|SLC25A12|TOMM20|TOMM70|TIMM17A|SLC25A36|SLC25A23|GRPEL1|PNPT1|SFXN1|GRPEL2,0
Control_sites,GO Biological Processes,19,GO:0042692,muscle cell differentiation,19_GO:0032502 developmental process,-2.9,1.8,3.4,5157,79,991,27,2.7,0.52,858|3021|3192|4205|4208|4756|4851|5532|5573|5738|6095|6272|6416|6474|7248|7422|8837|9043|9948|10611|11214|23363|25842|29766|80005|80313|85461,CAV2|H3-3B|HNRNPU|MEF2A|MEF2C|NEO1|NOTCH1|PPP3CB|PRKAR1A|PTGFRN|RORA|SORT1|MAP2K4|SHOX2|TSC1|VEGFA|CFLAR|SPAG9|WDR1|PDLIM5|AKAP13|OBSL1|ASF1A|TMOD3|DOCK5|LRRC27|TANC1,0
Control_sites,WikiPathways,27,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,,-2.9,1.7,3.4,5157,87,991,29,2.9,0.54,1282|1290|1385|1386|1946|1994|2782|3915|3918|5154|5286|5290|5516|5523|5563|5594|5728|6198|6515|6654|7248|7422|9180|9586|10890|23035|51719|55970|59345,COL4A1|COL5A2|CREB1|ATF2|EFNA5|ELAVL1|GNB1|LAMC1|LAMC2|PDGFA|PIK3C2A|PIK3CA|PPP2CB|PPP2R3A|PRKAA2|MAPK1|PTEN|RPS6KB1|SLC2A3|SOS1|TSC1|VEGFA|OSMR|CREB5|RAB10|PHLPP2|CAB39|GNG12|GNB4,0
Control_sites,GO Biological Processes,19,GO:0060245,detection of cell density,19_GO:0050896 response to stimulus,-2.9,5.2,4.1,5157,4,991,4,0.4,0.2,1386|5058|5795|10413,ATF2|PAK1|PTPRJ|YAP1,0
