Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Regulatable_sites,Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-10,2,7.2,5157,353,663,89,13,1.3,677|1453|1974|1981|2962|3178|3183|3184|3185|4670|5094|5432|5441|5520|5683|5690|5693|5713|5714|5715|5717|5725|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|6428|6434|6629|6635|6636|7529|7534|8570|9045|9125|9188|9349|9652|9692|9939|9972|10179|10181|10197|10436|10644|10767|10885|10914|22826|22984|23020|23521|23636|23658|25821|25873|26986|27350|51077|51503|51747|51759|54913|55571|55720|55749|57461|57647|58517|63892|65083|80153|80746|85437|116461|153527|220988,ZFP36L1|CSNK1D|EIF4A2|EIF4G1|GTF2F1|HNRNPA1|HNRNPC|HNRNPD|HNRNPF|HNRNPM|PCBP2|POLR2C|POLR2L|PPP2R2A|PSMA2|PSMB2|PSMB5|PSMD7|PSMD8|PSMD9|PSMD11|PTBP1|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|SRSF3|TRA2B|SNRPB2|SNRPE|SNRPF|YWHAB|YWHAZ|KHSRP|RPL14|CNOT9|DDX21|RPL23|SKIC3|PRORP|RBM8A|NUP153|RBM7|RBM5|PSME3|EMG1|IGF2BP2|HBS1L|WDR3|PAPOLA|DNAJC8|PDCD11|SNRNP200|RPL13A|NUP62|LSM5|MTO1|RPL36|PABPC1|APOBEC3C|FCF1|CWC15|LUC7L3|C9orf78|RPP25|CNOT11|TSR1|CCAR1|ISY1|DHX37|RBM25|THADA|NOL6|EDC3|TSEN2|ZCRB1|TSEN15|ZMAT2|HNRNPA3,-6
Regulatable_sites,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-10,3.7,8,5157,59,663,28,4.2,0.78,1819|1939|1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9147|9349|10399|23521|25873,DRG2|EIF2D|EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|NEMF|RPL23|RACK1|RPL13A|RPL36,-6
Regulatable_sites,Reactome Gene Sets,6,R-HSA-9824446,Viral Infection Pathways,,-9,1.9,6.7,5157,316,663,79,12,1.3,142|483|567|821|1107|1213|2288|2957|2962|3178|3320|3840|3843|4089|5094|5119|5432|5441|5478|5610|5683|5690|5693|5713|5714|5715|5717|5781|5905|5978|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|6385|6635|6636|6827|6885|7329|7415|7520|7529|7534|7555|8065|9045|9349|9397|9611|9612|9908|9972|10197|11168|11198|23193|23367|23521|23636|25873|29082|51534|57506|84790|85437|140735|203068|340061,PARP1|ATP1B3|B2M|CANX|CHD3|CLTC|FKBP4|GTF2A1|GTF2F1|HNRNPA1|HSP90AA1|KPNA4|IPO5|SMAD4|PCBP2|CHMP1A|POLR2C|POLR2L|PPIA|EIF2AK2|PSMA2|PSMB2|PSMB5|PSMD7|PSMD8|PSMD9|PSMD11|PTPN11|RANGAP1|REST|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|SDC4|SNRPE|SNRPF|SUPT4H1|MAP3K7|UBE2I|VCP|XRCC5|YWHAB|YWHAZ|CNBP|CUL5|RPL14|RPL23|NMT2|NCOR1|NCOR2|G3BP2|NUP153|PSME3|PSIP1|SUPT16H|GANAB|LARP1|RPL13A|NUP62|RPL36|CHMP4A|VTA1|MAVS|TUBA1C|ZCRB1|DYNLL2|TUBB|STING1,-5
Regulatable_sites,Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-8.8,3.6,7.4,5157,54,663,25,3.8,0.74,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-5
Regulatable_sites,Reactome Gene Sets,6,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,,-8.7,3.2,7.2,5157,74,663,30,4.5,0.81,1981|5683|5690|5693|5713|5714|5715|5717|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8453|9045|9349|9939|10197|23521|25873|26986,EIF4G1|PSMA2|PSMB2|PSMB5|PSMD7|PSMD8|PSMD9|PSMD11|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|CUL2|RPL14|RPL23|RBM8A|PSME3|RPL13A|RPL36|PABPC1,-5
Regulatable_sites,CORUM,33,CORUM:3055,Nop56p-associated pre-rRNA complex,,-8.7,3.7,7.3,5157,51,663,24,3.6,0.73,3178|3609|4670|4673|6146|6155|6156|6158|6159|6161|6165|6168|6228|6235|6727|6949|9045|9188|9349|11137|23521|25873|26156|51631,HNRNPA1|ILF3|HNRNPM|NAP1L1|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37A|RPS23|RPS29|SRP14|TCOF1|RPL14|DDX21|RPL23|PWP1|RPL13A|RPL36|RSL1D1|LUC7L2,-5
Regulatable_sites,Reactome Gene Sets,6,R-HSA-72737,Cap-dependent Translation Initiation,,-8.2,3.4,7,5157,57,663,25,3.8,0.74,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-4.6
Regulatable_sites,Reactome Gene Sets,6,R-HSA-72613,Eukaryotic Translation Initiation,,-8.2,3.4,7,5157,57,663,25,3.8,0.74,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-4.6
Regulatable_sites,Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-8.2,3.7,7.1,5157,46,663,22,3.3,0.7,3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873,EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36,-4.6
Regulatable_sites,Reactome Gene Sets,6,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-7.9,3.4,6.9,5157,55,663,24,3.6,0.73,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36,-4.4
