_MEMBER_Control_sites,_MEMBER_PRMT_reg,_MEMBER_Regulatable_sites,_LogP_Control_sites,_LogP_PRMT_reg,_LogP_Regulatable_sites,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,0,0,-9.900744899022044,0.0,0.0,GO:0002181,M100,1,0,GO Biological Processes,19,cytoplasmic translation,19_GO:0008152 metabolic process,-9.900744899022044,3.609719514024299,7.843333709644011,5157,59,678,28,4.129793510324483,0.7641720572163578,1819|1939|1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9147|9349|10399|23521|25873,DRG2|EIF2D|EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|NEMF|RPL23|RACK1|RPL13A|RPL36,-5.763522014454295,0,1,1,1,-9.900744899022044,4.056637168141593,
1,0,0,-8.614898815670745,0.0,0.0,R-HSA-156827,M100,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-8.614898815670745,3.5213864306784664,7.24609922966646,5157,54,678,25,3.687315634218289,0.72373913025751,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-4.902933226294724,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-8.504125606354558,0.0,0.0,R-HSA-9010553,M100,1,0,Reactome Gene Sets,6,Regulation of expression of SLITs and ROBOs,,-8.504125606354558,3.0835924419995213,7.0234314579437855,5157,74,678,30,4.424778761061947,0.7897753769584906,1981|5683|5690|5693|5713|5714|5715|5717|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8453|9045|9349|9939|10197|23521|25873|26986,EIF4G1|PSMA2|PSMB2|PSMB5|PSMD7|PSMD8|PSMD9|PSMD11|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|CUL2|RPL14|RPL23|RBM8A|PSME3|RPL13A|RPL36|PABPC1,-4.902933226294724,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-8.471252311389836,0.0,0.0,CORUM:3055,M100,1,0,CORUM,33,Nop56p-associated pre-rRNA complex,,-8.471252311389836,3.5793857365955235,7.201811447816453,5157,51,678,24,3.5398230088495577,0.7096593910145382,3178|3609|4670|4673|6146|6155|6156|6158|6159|6161|6165|6168|6228|6235|6727|6949|9045|9188|9349|11137|23521|25873|26156|51631,HNRNPA1|ILF3|HNRNPM|NAP1L1|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37A|RPS23|RPS29|SRP14|TCOF1|RPL14|DDX21|RPL23|PWP1|RPL13A|RPL36|RSL1D1|LUC7L2,-4.902933226294724,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-8.013835009986092,0.0,0.0,R-HSA-72613,M100,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-8.013835009986092,3.3360503027480206,6.899463161545836,5157,57,678,25,3.687315634218289,0.72373913025751,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-4.5831912758684545,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-8.013835009986092,0.0,0.0,R-HSA-72737,M100,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-8.013835009986092,3.3360503027480206,6.899463161545836,5157,57,678,25,3.687315634218289,0.72373913025751,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873|26986,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36|PABPC1,-4.5831912758684545,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-7.975419101907885,0.0,0.0,R-HSA-72689,M100,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-7.975419101907885,3.6377452866487108,6.9910048124792805,5157,46,678,22,3.2448377581120944,0.6804852551669403,3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873,EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36,-4.5831912758684545,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-7.662384249428395,0.0,0.0,R-HSA-72706,M100,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-7.662384249428395,3.319066773934031,6.726747737226955,5157,55,678,24,3.5398230088495577,0.7096593910145382,1974|1981|3646|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|8661|8667|8669|9045|9349|23521|25873,EIF4A2|EIF4G1|EIF3E|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|EIF3A|EIF3H|EIF3J|RPL14|RPL23|RPL13A|RPL36,-4.31591391394964,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-7.423262397369996,0.0,0.0,R-HSA-168255,M100,1,0,Reactome Gene Sets,6,Influenza Infection,,-7.423262397369996,2.8171091445427727,6.412737853471163,5157,81,678,30,4.424778761061947,0.7897753769584906,142|821|1213|2962|3320|3840|3843|5432|5441|5610|6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|9045|9349|9972|23521|23636|25873,PARP1|CANX|CLTC|GTF2F1|HSP90AA1|KPNA4|IPO5|POLR2C|POLR2L|EIF2AK2|RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|RPL14|RPL23|NUP153|RPL13A|NUP62|RPL36,-4.118184747049465,0,1,0,0,-9.900744899022044,4.056637168141593,
1,0,0,-6.7677857863553,0.0,0.0,CORUM:306,M100,1,0,CORUM,33,"Ribosome, cytoplasmic",,-6.7677857863553,3.7003109303994264,6.412987980906717,5157,37,678,18,2.6548672566371683,0.6173958124677656,6146|6155|6156|6158|6159|6161|6165|6167|6168|6188|6191|6223|6228|6235|9045|9349|23521|25873,RPL22|RPL27|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPS3|RPS4X|RPS19|RPS23|RPS29|RPL14|RPL23|RPL13A|RPL36,-3.5004966969241695,0,1,0,0,-9.900744899022044,4.056637168141593,
